study_id,trait,temp_regime,n,treatment
58,Specific Dynamic Action magnitude,0,3,constant
58,Specific Dynamic Action magnitude,1,2,fluctuating
58,Specific Growth Rate,0,3,constant
58,Specific Growth Rate,1,1,fluctuating
61,Development rate,0,12,constant
61,Development rate,1,6,fluctuating
61,Fecundity,0,6,constant
61,Fecundity,1,6,fluctuating
61,Longevity,0,6,constant
61,Longevity,1,6,fluctuating
61,Survivorship,0,6,constant
61,Survivorship,1,6,fluctuating
67,development rate,0,6,constant
67,development rate,1,6,fluctuating
67,tibia length,0,6,constant
67,tibia length,1,6,fluctuating
9,development rate of egg,0,10,constant
9,development rate of egg,1,4,fluctuating
9,development rate of first-instar larva,0,7,constant
9,development rate of first-instar larva,1,4,fluctuating
9,development rate of pupal stage,0,10,constant
9,development rate of pupal stage,1,5,fluctuating
9,development rate of second-instar larva,0,7,constant
9,development rate of second-instar larva,1,3,fluctuating
9,development rate of third-instar larva,0,3,constant
9,development rate of third-instar larva,1,2,fluctuating
90,Population size,0,12,constant
90,Population size,1,8,fluctuating
91,Adult mortality,0,3,constant
91,Adult mortality,1,3,fluctuating
91,Egg Cocoon Mortality,0,3,constant
91,Egg Cocoon Mortality,1,3,fluctuating
91,Prepupa mortality,0,3,constant
91,Prepupa mortality,1,3,fluctuating
91,prepupal weight,0,3,constant
91,prepupal weight,1,3,fluctuating
91,Pupa mortality,0,3,constant
91,Pupa mortality,1,3,fluctuating
kingsolver,growth rate,0,7,constant
kingsolver,growth rate,1,9,fluctuating
VB19-1,development time,0,6,constant
VB19-1,development time,1,6,fluctuating
VB19-2,Mesothoracic Femur Length- Females,0,3,constant
VB19-2,Mesothoracic Femur Length- Females,1,2,fluctuating
VB19-2,Mesothoracic Femur Length- Males,0,3,constant
VB19-2,Mesothoracic Femur Length- Males,1,2,fluctuating
VB19-2,survival,0,6,constant
VB19-2,survival,1,3,fluctuating
VB19-2,Teneral WT - Female,0,5,constant
VB19-2,Teneral WT - Female,1,3,fluctuating
VB19-2,Teneral WT - Male,0,5,constant
VB19-2,Teneral WT - Male,1,3,fluctuating
VB19-3,development time -Females,0,11,constant
VB19-3,development time -Females,1,10,fluctuating
VB19-3,development time -Males,0,11,constant
VB19-3,development time -Males,1,10,fluctuating
VB19-4,total development time,0,9,constant
VB19-5,Adult longeivity - Females,0,6,constant
VB19-5,Adult longeivity - Females,1,5,fluctuating
VB19-5,Adult longeivity - Males,0,6,constant
VB19-5,Adult longeivity - Males,1,5,fluctuating
VB19-5,Development Time - Females,0,6,constant
VB19-5,Development Time - Females,1,5,fluctuating
VB19-5,Development Time - Males,0,6,constant
VB19-5,Development Time - Males,1,5,fluctuating
VB19-5,Fecundity,0,6,constant
VB19-5,Fecundity,1,5,fluctuating
